"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine, alanine and threonine metabolism","88","51","26","33.189","0.42087","0.50263","0.023968","100","1","1","1","1","P47","EC00034;EC00035;EC00032;EC00028;EC000183;EC0001077;EC000368;EC000369;EC00069;EC00070;EC0001788;EC000233;EC000303;EC000473;EC000474;EC000748;EC0001910;EC000333;EC000459;EC0001456;EC00017;EC00018;EC00076;EC00079;EC000135;EC000560;EC000561;EC000740;EC000240;EC000970;EC000979;EC000980"
"Lipoate metabolism","8","4","3","3.6206","0.44093","0.69199","0.025633","29","0.29","1","1","1","P48","EC000560;EC000561;EC0001810;EC00050"
"Glutamate metabolism","15","13","6","9.9567","0.44155","0.59426","0.025687","100","1","1","1","1","P49","EC00034;EC00035;EC000368;EC000369;EC00073;EC00074;EC00047;EC000620;EC000622;EC000135"
"Pentose and Glucuronate Interconversions","15","15","10","5.7327","0.4431","0.644","0.025822","39","0.39","1","1","1","P50","EC000127;EC000159;EC000243;EC000148;EC000150;EC0001263"
"N-Glycan biosynthesis","48","18","8","9.0516","0.46515","0.62512","0.027823","0","0","1","1","1","P51","EC000127;EC000145;EC000836;EC00061;EC00039;EC00041;EC000103;EC000104;EC000105"
"C21-steroid hormone biosynthesis and metabolism","112","79","36","19.913","0.48001","0.58737","0.029272","0","0","1","1","1","P52","EC0001113;EC0001298;EC000960;EC0001293;EC000720;EC0001283;EC000642;EC000643;EC000534;EC000535;EC000441;EC0001294;EC0001296;EC0002110;EC0001280;EC0001288;EC0001187;EC000238;EC00059"
"Linoleate metabolism","46","37","24","22.327","0.50523","0.60603","0.031933","100","1","1","1","1","P53","EC0001800;EC0001159;EC0002029;EC0001828;EC000761;EC0001782;EC0001784;EC0001836;EC0001837;EC0002009;EC0001845;EC00082;EC000211;EC0001615;EC0001616;EC0001617;EC0001791;EC0001215;EC0001496;EC0001497;EC000893"
"CoA Catabolism","7","6","3","3.9224","0.51129","0.74668","0.032613","0","0","1","1","1","P54","EC00028;EC000675;EC000676;EC000689"
"Omega-3 fatty acid metabolism","39","15","6","7.2413","0.52065","0.69589","0.033697","0","0","1","1","1","P55","EC00028;EC0001671;EC0001673;EC0001215;EC0001496;EC0001497;EC0001677"
"Phosphatidylinositol phosphate metabolism","59","31","17","13.879","0.53257","0.65933","0.035139","0","0","1","1","1","P56","EC00039;EC000857;EC000858;EC000818;EC0001162;EC000387;EC0002096;EC00061;EC000103;EC000104;EC000105;EC000243;EC000111"
"Glycosphingolipid biosynthesis - globoseries","16","9","4","5.1292","0.53492","0.73959","0.035432","0","0","1","1","1","P57","EC00041;EC00061;EC00039;EC000178;EC000176"
